buyer,supplier,trans_id,amount,date
Buyers spending on Virgin,Virgin companies,1,8969501.90,2016-01-01
Buyers spending on Virgin,Virgin companies,2,10979587.08,2016-02-01
Buyers spending on Virgin,Virgin companies,3,10933093.33,2016-03-01
Buyers spending on Virgin,Virgin companies,4,18073356.78,2016-04-01
Buyers spending on Virgin,Virgin companies,5,13816999.92,2016-05-01
Buyers spending on Virgin,Virgin companies,6,10063115.62,2016-06-01
Buyers spending on Virgin,Virgin companies,7,7402084.90,2016-07-01
Buyers spending on Virgin,Virgin companies,8,9623818.18,2016-08-01
Buyers spending on Virgin,Virgin companies,9,8577649.95,2016-09-01
Buyers spending on Virgin,Virgin companies,10,11101739.25,2016-10-01
Buyers spending on Virgin,Virgin companies,11,9262629.00,2016-11-01
Buyers spending on Virgin,Virgin companies,12,8761710.66,2016-12-01
Buyers spending on Virgin,Virgin companies,13,9284219.17,2017-01-01
Buyers spending on Virgin,Virgin companies,14,7298862.17,2017-02-01
Buyers spending on Virgin,Virgin companies,15,9815133.50,2017-03-01
Buyers spending on Virgin,Virgin companies,16,15878043.42,2017-04-01
Buyers spending on Virgin,Virgin companies,17,26669023.18,2017-05-01
Buyers spending on Virgin,Virgin companies,18,14094147.04,2017-06-01
Buyers spending on Virgin,Virgin companies,19,22955452.00,2017-07-01
Buyers spending on Virgin,Virgin companies,20,12851051.19,2017-08-01
Buyers spending on Virgin,Virgin companies,21,17554292.45,2017-09-01
Buyers spending on Virgin,Virgin companies,22,15309730.91,2017-10-01
Buyers spending on Virgin,Virgin companies,23,11279419.66,2017-11-01
Buyers spending on Virgin,Virgin companies,24,16873677.04,2017-12-01
Buyers spending on Virgin,Virgin companies,25,10262544.25,2018-01-01
Buyers spending on Virgin,Virgin companies,26,14277634.68,2018-02-01
Buyers spending on Virgin,Virgin companies,27,18330750.34,2018-03-01
Buyers spending on Virgin,Virgin companies,28,19086820.38,2018-04-01
Buyers spending on Virgin,Virgin companies,29,-10417950.80,2018-05-01
Buyers spending on Virgin,Virgin companies,30,10190668.38,2018-06-01
Buyers spending on Virgin,Virgin companies,31,17648098.50,2018-07-01
Buyers spending on Virgin,Virgin companies,32,18785018.60,2018-08-01
Buyers spending on Virgin,Virgin companies,33,9351316.44,2018-09-01
Buyers spending on Virgin,Virgin companies,34,19731723.21,2018-10-01
Buyers spending on Virgin,Virgin companies,35,19490456.85,2018-11-01
Buyers spending on Virgin,Virgin companies,36,14587263.59,2018-12-01
Buyers spending on Virgin,Virgin companies,37,31685104.14,2019-01-01
Buyers spending on Virgin,Virgin companies,38,7484006.64,2019-02-01
Buyers spending on Virgin,Virgin companies,39,35573901.75,2019-03-01
Buyers spending on Virgin,Virgin companies,40,23073585.15,2019-04-01
Buyers spending on Virgin,Virgin companies,41,23618497.53,2019-05-01
Buyers spending on Virgin,Virgin companies,42,19264062.93,2019-06-01
Buyers spending on Virgin,Virgin companies,43,21429988.70,2019-07-01
Buyers spending on Virgin,Virgin companies,44,19913497.45,2019-08-01
Buyers spending on Virgin,Virgin companies,45,12399610.93,2019-09-01
Buyers spending on Virgin,Virgin companies,46,14661900.02,2019-10-01
Buyers spending on Virgin,Virgin companies,47,7839995.22,2019-11-01
Buyers spending on Virgin,Virgin companies,48,971558.37,2019-12-01
